지식등록법령조문일련번호,지식등록법령일련번호,시행일자,조문번호,조문가지번호,조문제목,등록여부,법령지식조문일련번호,조문일련번호
136928,1965,2008-10-14,0014,00,상복 등,Y,136928,23563027
136930,1965,2008-10-14,0016,00,부고,Y,136930,23563048
136932,1965,2008-10-14,0013,00,상기,Y,136932,23563026
136926,1965,2008-10-14,0012,00,장일,Y,136926,23563025
137060,1988,2009-01-30,0002,00,정의,Y,137060,18378101
137062,1988,2009-01-30,0004,00,사용자의 통지의무,Y,137062,18378103
137063,1988,2009-01-30,0008,00,불이익금지,Y,137063,18384993
137064,1988,2009-01-30,0006,00,신원보증인의 책임,Y,137064,18378995
137065,1988,2009-01-30,0007,00,신원보증계약의 종료,Y,137065,18384992
150566,8399,2009-01-30,0002,00,국가의 대표자,Y,150566,30347807
137066,1988,2009-01-30,0005,00,신원보증인의 계약해지권,Y,137066,18378104
137061,1988,2009-01-30,0003,00,신원보증계약의 존속기간 등,Y,137061,18378102
150550,8390,2009-01-30,0002,00,국가의 배상 책임,Y,150550,29987875
150573,8402,2009-02-03,0010,00,법인의 설립,Y,150573,17894827
150574,8402,2009-02-03,0004,00,사무총장,Y,150574,17894820
137078,1991,2009-02-12,0118,00,事前運動罪등,Y,137078,23946414
137079,1991,2009-02-12,0025,00,定義,Y,137079,23946309
137080,1991,2009-02-12,0026,00,國民投票에 관한 運動의 期間,Y,137080,23946322
137087,1991,2009-02-12,0046,00,演說會場에서의 騷亂行爲의 금지,Y,137087,23946329
137081,1991,2009-02-12,0028,00,運動을 할 수 없는 者,Y,137081,23946323
137082,1991,2009-02-12,0032,00,演說會,Y,137082,23946326
137084,1991,2009-02-12,0034,00,演說禁止場所,Y,137084,23946313
137085,1991,2009-02-12,0036,00,擴聲裝置와 自動車등의 사용제한,Y,137085,23946315
137088,1991,2009-02-12,0047,00,夜間演說禁止,Y,137088,23946343
137090,1991,2009-02-12,0116,00,각종 制限規定의 違反罪,Y,137090,23946412
137091,1991,2009-02-12,0014,00,投票人名簿의 작성,Y,137091,23946319
137077,1991,2009-02-12,0005,00,人口의 基準,Y,137077,23946274
137083,1991,2009-02-12,0033,00,公共施設등의 이용,Y,137083,23946312
137089,1991,2009-02-12,0092,00,國民投票無效의 訴訟,Y,137089,23946394
137086,1991,2009-02-12,0044,00,각종 集會등의 제한,Y,137086,23946341
150549,8389,2009-02-17,0002,00,신청권자,Y,150549,18271910
150567,8400,2009-03-25,0003,00,수입인지의 판매,Y,150567,23517050
150569,8400,2009-03-25,0005,00,수입인지에 의한 세입금 납부,Y,150569,23517051
150568,8400,2009-03-25,0004,00,수입인지 판매에 관한 계약 등,Y,150568,23517034
137068,1989,2009-04-01,0007,00,경비교도의 계급,Y,137068,25215118
137067,1989,2009-04-01,0013,00,근무,Y,137067,25215124
150570,8401,2009-04-30,0003,00,투표인명부작성의 기준서류,Y,150570,17658789
150571,8401,2009-04-30,0025,00,공공시설 등의 이용,Y,150571,17659770
150572,8401,2009-04-30,0023,00,연설회,Y,150572,17659768
150565,8398,2009-09-06,0012,00,신고,Y,150565,28274699
136963,1970,2009-09-10,0024,00,벌칙,Y,136963,26536481
136964,1970,2009-09-10,0009,00,보호구역에서의 금지 또는 제한,Y,136964,26536465
136965,1970,2009-09-10,0010,00,비행안전구역에서의 금지 또는 제한,Y,136965,26536466
136967,1970,2009-09-10,0006,00,비행안전구역의 지정범위 등,Y,136967,26536462
136960,1970,2009-09-10,0002,00,정의,Y,136960,26536457
136961,1970,2009-09-10,0004,00,보호구역등의 지정권자 등,Y,136961,26536460
136966,1970,2009-09-10,0011,00,장애물 등에 대한 조치 등,Y,136966,26536467
136962,1970,2009-09-10,0005,00,보호구역 및 민간인통제선의 지정범위 등,Y,136962,26536461
137076,1990,2009-09-26,0035,00,불용의 결정 등,Y,137076,28274315
137074,1990,2009-09-26,0038,00,불용품의 양여,Y,137074,28274292
137073,1990,2009-09-26,0036,00,매각,Y,137073,28274316
137069,1990,2009-09-26,0002,00,정의,Y,137069,28274267
137071,1990,2009-09-26,0027,00,물품관리종사공무원의 행위의 제한,Y,137071,28274307
137075,1990,2009-09-26,0039,00,매각의 특례,Y,137075,28274318
137072,1990,2009-09-26,0041,00,대부의 제한,Y,137072,28274293
137070,1990,2009-09-26,0009,00,물품관리관,Y,137070,28274273
137059,1986,2009-09-26,0003,00,저당권의 목적물,Y,137059,15097056
137030,1979,2009-10-21,0003,00,배상기준,Y,137030,28275384
137031,1979,2009-10-21,0004,00,양도 등 금지,Y,137031,28275386
137032,1979,2009-10-21,0005,00,공공시설 등의 하자로 인한 책임,Y,137032,28275369
137034,1979,2009-10-21,0007,00,외국인에 대한 책임,Y,137034,28275388
