번호,법령명,조문명
77,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제12조의2 피공제자의 근로일수 신고를 위한 전자카드 발급 등
78,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제19조의3 
79,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제7조 
80,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제14조 제4장 진폐근로자 보호 사업
81,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제8조 우리사주조합 설립에 관한 협의사항
82,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 2., 타법개정]",제29조 운영 원칙
83,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제3조의3 건설근로자 고용개선 등 지원
84,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제6조 퇴직공제의 당연 가입 대상
85,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 3., 타법개정]",제15조 부정행위에 따른 퇴직공제금의 반환
86,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제3조 
87,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제12조의3 교육의 범위 등
88,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 3., 타법개정]",제13조 분진작업에 채용할 수 없는 사람
89,"공무원의 노동조합 설립 및 운영 등에 관한 법률 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제1조 목적
90,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제9조 조합 설립의 통지 등
91,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 2., 타법개정]",제22조 기본재산 총액 변경 내용 보고
92,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 3., 타법개정]",제30조 운영상황 보고
93,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제2조 건설업의 정의
94,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제5조의2 정관의 기재사항
95,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 3., 타법개정]",제12조의3 도급인의 공제부금 납부 특례
96,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제6조 
97,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제12조의6 건강진단기관의 지정취소 등
98,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 3., 타법개정]",제18조 과태료의 부과기준
99,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제1조 목적
100,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 2., 타법개정]",제13조 퇴직근로자에 대한 우리사주 배정
101,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제4조의3 건설근로자의 기능등급별 구분ㆍ관리
102,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제9조 공제부금납부확인서의 제출
103,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제19조 권한의 위임
104,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제1조의2 분진작업의 범위
105,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제11조 진폐심사의사의 자격기준
106,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제17조 위탁사무의 처리 비용 등
107,"공무원의 노동조합 설립 및 운영 등에 관한 법률 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제2조 산하조직 설치사실의 통보
108,"공무원의 노동조합 설립 및 운영 등에 관한 법률 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제6조 다른 부령과의 관계
109,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제5조 보증채무 이행사실의 통보
110,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제11조 
111,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제25조 회의록의 작성
112,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제4조의5 업무의 위탁
113,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제11조 피공제자가 될 수 없는 자의 범위
114,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제20조 과태료의 부과기준
115,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제5조 
116,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제12조의4 건강진단을 받을 의무의 면제 사유
117,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제12조 자사주 취득기한의 예외
118,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제15조 수탁기관
119,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제26조 근로복지시설의 범위
120,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제4조의4 자료의 제출 요청
121,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제5조의5 이사회의 운영
122,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제18조 보고의 요구 등
123,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제8조 
124,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제15조 진폐전문기관의 지정
125,"공무원의 노동조합 설립 및 운영 등에 관한 법률 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제4조 조정 등의 신청
126,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제20조 사내근로복지기금법인 등의 설립인가 신청
127,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 2., 타법개정]",제29조의2 공동근로복지기금법인의 탈퇴 등에 따른 재산처리
128,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제3조의2 고용관리 책임자 지정ㆍ신고
129,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제10조 퇴직공제 임의가입의 요건
130,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 3., 타법개정]",제19조의2 고유식별정보의 처리
131,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제1조 제1장 총칙
132,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제3조 제2장 진폐의 예방
133,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 3., 타법개정]",제10조 진폐심사의사의 임기
134,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 4., 타법개정]",제16조 권한의 위임ㆍ위탁
135,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제3조 학자금의 지원 등
136,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 2., 타법개정]",제16조 우리사주의 취득기준일
137,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 3., 타법개정]",제27조 시정기간
138,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 4., 타법개정]",제31조 시정기간
139,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제5조의4 이사회의 구성
140,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제10조의2 퇴직공제 가입에 드는 금액
141,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 3., 타법개정]",제13조 퇴직공제금 등의 지급
142,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제12조의5 건강진단기관
143,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제17조의3 
144,"공무원의 노동조합 설립 및 운영 등에 관한 법률 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제5조 서식 등
145,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제6조 구상권 행사 위탁기관의 선정
146,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 2., 타법개정]",제18조 조합의 해산 사유
147,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 3., 타법개정]",제23조 정관변경의 인가신청 등
148,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 4., 타법개정]",제32조 증표
149,"노동절 제정에 관한 법률[시행2025. 11. 11.] [법률 제21134호,2025. 11. 11., 전부개정]","제0조 5월 1일을 노동절로 하고, 이 날을 「근로기준법」에 따른 유급휴일로 한다."
150,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 31., 일부개정]",제5조 중견전문인력의 범위
151,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 32., 일부개정]",제15조 증표
152,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 33., 일부개정]",제7조 
153,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 34., 일부개정]",제15조 제5장 보칙
154,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 35., 일부개정]",제6조 중견전문인력 고용지원센터의 지정신청 등
155,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 36., 일부개정]",제4조 고령자인재은행의 지정신청 등
156,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 37., 일부개정]",제10조 제3장 고령자의 고용촉진 및 고용안정
157,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 38., 일부개정]",제9조 중견전문인력 고용지원센터 업무의 폐지ㆍ휴업
158,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 39., 일부개정]",제14조 
159,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 40., 일부개정]",제1조 제1장 총칙
160,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 41., 일부개정]",제10조 고령자 고용현황 제출
161,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 42., 일부개정]",제11조 
162,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 43., 일부개정]",제1조 목적
163,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 44., 일부개정]",제3조 적응훈련 실시자 등
164,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 45., 일부개정]",제13조 정년 제도 운영 현황 제출
165,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 46., 일부개정]",제2조 적응훈련의 내용
166,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 47., 일부개정]",제13조 제4장 정년
167,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 48., 일부개정]",제8조 고령자인재은행 업무의 폐지ㆍ휴업
