일상용어 일련번호,일상용어,비고내용,출처,등록일시,수정일시
154009,가스폭발,,,2023-01-13,
154013,교정계수,,,2023-01-13,
154015,화급,,,2023-01-13,
154017,퀄,,,2023-01-13,2023-01-19
154019,자동차연료,,,2023-01-13,
154021,작업수익,,,2023-01-13,
154023,조의금,,,2023-01-13,2023-09-21
154025,거처방,,,2023-01-13,2023-02-10
154027,가입신청자,,,2023-01-14,
154029,공사판,,,2023-01-14,2023-05-01
154031,설비성능,,,2023-01-14,
154033,해제공고,,,2023-01-14,
154035,배관시설이용료,,,2023-01-14,
154037,배관시설사용료,,,2023-01-14,
154039,이익신장,,,2023-01-14,
154041,급변,,,2023-01-14,
154043,사고다발,,,2023-01-14,
154045,카테고리,,,2023-01-14,
154047,사교육비,,,2023-01-14,2023-05-15
154049,파이프라인,,,2023-01-14,2023-06-27
154051,조정권유,,,2023-01-14,
154053,다중생활시설,,,2023-01-14,2023-03-09
154055,말초신경병,,,2023-01-14,
154057,베트남전,,,2023-01-14,
154059,제2차인도차이나전쟁,,,2023-01-14,
154061,존함,,,2023-01-14,
154063,함자,,,2023-01-14,
154065,물려받음,,,2023-01-14,
154069,보너스점수,,,2023-01-14,
154071,100분의10,,,2023-01-14,
154073,100분의5,,,2023-01-14,
154075,양로시설,,,2023-01-14,
154077,보증금인상,,,2023-01-14,
154079,보증금인하,,,2023-01-14,
154081,보훈원,,,2023-01-14,
154083,궁,,,2023-01-14,2023-04-01
154085,궁전,,,2023-01-14,
154087,참가압류통지서,,,2023-01-14,2023-08-02
154089,보훈섬김이,,,2023-01-14,
154091,준칙,,,2023-01-14,2023-03-12
154093,도시기능증진,,,2023-01-14,
154095,미관증진,,,2023-01-14,
154097,정서적,,,2023-01-14,
154099,카운슬링,,,2023-01-14,
154101,체험농장,,,2023-01-14,
154103,건축자원,,,2023-01-14,
154105,나라지원,,,2023-01-14,
154107,꺼냄,,,2023-01-14,
154109,시골땅,,,2023-01-14,
154111,전략적대상지역,,,2023-01-14,
154115,분배요구,,,2023-01-14,
154117,배분요청,,,2023-01-14,2023-04-13
154119,주택지역,,,2023-01-14,2023-09-16
154121,경지정리,,,2023-01-14,
154123,빌린농지,,,2023-01-14,
154125,직접영농,,,2023-01-14,2023-01-14
154127,직접경영농지,,,2023-01-14,
154129,수립비용,,,2023-01-14,
154131,실제업무경험,,,2023-01-14,
154133,경쟁영업,,,2023-01-14,
154135,구성비용,,,2023-01-14,
154137,탈북민지원재단,,,2023-01-14,
154139,탈북자지원재단,,,2023-01-14,
154141,혁신지구계획,,,2023-01-14,2023-08-31
154143,도입작용,,,2023-01-14,
154145,이중지정,,,2023-01-14,
154147,혁신지구사업시행자,,,2023-01-14,
154149,고용안정중대문제,,,2023-01-14,
154151,신기술창출,,,2023-01-14,
154153,문화재지능정보기술,,,2023-01-14,
154155,역사적가치,,,2023-01-14,
154157,문화재애호의식,,,2023-01-14,
154159,종합적기본계획,,,2023-01-14,
154161,위법반출,,,2023-01-14,
154163,보물,,,2023-01-14,2023-03-02
154165,북괴,,,2023-01-14,
154167,조선인민군,,,2023-01-14,
154169,북한회사,,,2023-01-14,
154171,북한개인식별번호,,,2023-01-14,
154173,정부입법총괄기관,,,2023-01-14,
154175,법령해석기관,,,2023-01-14,
154177,집단구타,,,2023-01-14,
154179,폭행사망,,,2023-01-14,
154181,폭행상해,,,2023-01-14,
154187,음경,,,2023-01-14,2023-01-14
154185,남근,,,2023-01-14,2023-01-14
154183,페니스,,,2023-01-14,2023-01-14
154189,메가폰,,,2023-01-14,
154191,청소년육성,,,2023-01-14,
154193,지방청소년육성,,,2023-01-14,
154197,체신,,,2023-01-15,
154199,외환죄,,,2023-01-15,2023-01-15
154201,이적죄,,,2023-01-15,2023-01-15
154203,학살,,,2023-01-15,
154205,지방산지관리위원회,,,2023-01-15,
154207,이용상황,,,2023-01-15,2023-08-05
154209,임업진흥권역,,,2023-01-15,
154211,원상회복공사,,,2023-01-15,
154213,산지복구준공검사,,,2023-01-15,
154215,기념비적,,,2023-01-15,
154217,형질변경신고,,,2023-01-15,2023-01-25
154219,아마추어,,,2023-01-15,2023-01-17
154221,스페셜리스트,,,2023-01-15,
154223,토석채취,,,2023-01-15,2023-03-29
154225,토질개량,,,2023-01-15,
154227,토사채취,,,2023-01-15,2023-01-31
154229,쇄골재,,,2023-01-15,
154231,채석단지,,,2023-01-15,
154233,토석채취제한,,,2023-01-15,
154235,토석채취제한지역,,,2023-01-15,
